Date,Open,High,Low,Close,Adj Close,Volume
2014-04-04,4.165000,4.165000,3.891670,3.956670,3.085329,16960896
2014-04-07,4.025000,4.025000,3.866670,3.906670,3.046340,217542
2014-04-08,3.883330,3.940000,3.791670,3.830000,2.986554,257028
2014-04-09,3.833330,3.833330,3.783330,3.830000,2.986554,331464
2014-04-10,3.833330,3.835000,3.783330,3.830000,2.986554,39168
2014-04-11,3.833330,3.833330,3.750000,3.830000,2.986554,3546
2014-04-14,3.830000,3.916670,3.816670,3.833330,2.989150,2496
2014-04-15,3.831670,3.831670,3.830000,3.831670,2.987856,3630
2014-04-16,3.831670,3.831670,3.675000,3.826670,2.983957,1614
2014-04-17,3.831670,3.831670,3.750000,3.830000,2.986554,972
2014-04-22,3.830000,3.830000,3.826670,3.828330,2.985252,672
2014-04-23,3.826670,3.826670,3.675000,3.810000,2.970958,6000
2014-04-24,3.815000,3.815000,3.676670,3.800000,2.963161,3042
2014-04-25,3.798330,3.798330,3.350000,3.715000,2.896879,148638
2014-04-28,3.716670,3.716670,3.583330,3.641670,2.839698,544398
2014-04-29,3.641670,3.748330,3.616670,3.746670,2.921575,84582
2014-04-30,3.746670,3.750000,3.700000,3.750000,2.924171,3810
2014-05-02,3.830000,3.830000,3.803330,3.803330,2.965757,234
2014-05-05,3.828330,3.828330,3.798330,3.798330,2.961858,252
2014-05-06,3.750000,3.796670,3.746670,3.746670,2.921575,1848
2014-05-07,3.763330,3.775000,3.571670,3.766670,2.937170,3126
2014-05-08,3.766670,3.791670,3.766670,3.783330,2.950161,8262
2014-05-09,3.800000,3.800000,3.725000,3.750000,2.924171,23874
2014-05-12,3.800000,3.800000,3.750000,3.775000,2.943666,12582
2014-05-13,3.800000,3.803330,3.800000,3.803330,2.965757,744
2014-05-14,3.833330,3.833330,3.633330,3.650000,2.846194,7728
2014-05-15,3.815000,3.815000,3.630000,3.740000,2.916374,172116
2014-05-16,3.750000,3.750000,3.666670,3.733330,2.911172,696
2014-05-19,3.750000,3.833330,3.703330,3.791670,2.956665,26658
2014-05-20,3.783330,3.783330,3.750000,3.783330,2.950161,6000
2014-05-21,3.791670,3.791670,3.790000,3.791670,2.956665,324
2014-05-22,3.791670,3.825000,3.791670,3.825000,2.982655,1650
2014-05-23,3.913330,3.915000,3.913330,3.915000,3.052835,930
2014-05-26,3.911670,3.911670,3.866670,3.908330,3.047634,5640
2014-05-27,3.908330,3.908330,3.866670,3.900000,3.041138,419982
2014-05-28,3.883330,3.908330,3.866670,3.866670,3.015148,3270
2014-05-30,3.908330,3.981670,3.908330,3.978330,3.102218,6978
2014-06-02,3.978330,3.978330,3.866670,3.978330,3.102218,168
2014-06-03,3.833330,3.981670,3.833330,3.981670,3.104823,972
2014-06-04,3.853330,3.981670,3.853330,3.965000,3.091824,7128
2014-06-05,3.981670,3.981670,3.833330,3.915000,3.052835,34272
2014-06-06,3.913330,3.958330,3.913330,3.958330,3.086623,6600
2014-06-09,4.000000,4.000000,3.851670,3.973330,3.098320,3024
2014-06-10,4.000000,4.000000,4.000000,4.000000,3.119116,453870
2014-06-11,4.000000,4.000000,4.000000,4.000000,3.119116,924
2014-06-12,4.000000,4.000000,4.000000,4.000000,3.119116,354150
2014-06-13,3.858330,4.000000,3.858330,4.000000,3.119116,336
2014-06-16,4.000000,4.000000,4.000000,4.000000,3.119116,690
2014-06-17,4.000000,4.000000,3.858330,4.000000,3.119116,2994
2014-06-18,4.008330,4.008330,3.866670,4.000000,3.119116,3690
2014-06-19,4.000000,4.000000,3.996670,3.996670,3.116519,1470
2014-06-23,3.903330,3.983330,3.903330,3.983330,3.106117,786
2014-06-24,4.000000,4.000000,4.000000,4.000000,3.119116,48
2014-06-25,3.983330,3.983330,3.983330,3.983330,3.106117,62508
2014-06-26,3.918330,3.961670,3.918330,3.958330,3.086623,61614
2014-06-27,3.983330,4.000000,3.983330,4.000000,3.119116,3330
2014-06-30,4.000000,4.000000,3.983330,3.983330,3.106117,360
2014-07-01,4.050000,4.050000,4.050000,4.050000,3.158106,660
2014-07-02,4.050000,4.050000,4.050000,4.050000,3.158106,0
2014-07-03,4.083330,4.083330,4.050000,4.050000,3.158106,1248
2014-07-04,4.050000,4.083330,4.050000,4.050000,3.158106,204384
2014-07-07,4.050000,4.050000,4.033330,4.033330,3.145106,96
2014-07-08,4.000000,4.016670,4.000000,4.016670,3.132116,642
2014-07-09,4.033330,4.033330,4.033330,4.033330,3.145106,600
2014-07-10,4.033330,4.033330,4.033330,4.033330,3.145106,60
2014-07-11,4.033330,4.033330,4.033330,4.033330,3.145106,12
2014-07-14,4.050000,4.050000,4.050000,4.050000,3.158106,72
2014-07-15,4.050000,4.050000,4.050000,4.050000,3.158106,1560
2014-07-16,4.050000,4.050000,4.050000,4.050000,3.158106,3120
2014-07-17,4.050000,4.050000,4.000000,4.000000,3.119116,7878
2014-07-18,4.000000,4.000000,4.000000,4.000000,3.119116,372
2014-07-21,4.000000,4.000000,3.916670,4.000000,3.119116,9408
2014-07-22,4.000000,4.000000,4.000000,4.000000,3.119116,0
2014-07-23,4.000000,4.000000,3.983330,4.000000,3.119116,1350
2014-07-24,4.000000,4.000000,3.983330,3.983330,3.106117,672
2014-07-25,4.000000,4.000000,4.000000,4.000000,3.119116,120
2014-07-28,4.000000,4.008330,3.983330,4.000000,3.119116,6882
2014-07-29,3.983330,4.000000,3.983330,4.000000,3.119116,1500
2014-07-30,4.000000,4.000000,3.958330,3.983330,3.106117,948
2014-07-31,3.986670,3.996670,3.983330,3.996670,3.116519,828
2014-08-01,4.000000,4.000000,4.000000,4.000000,3.119116,2100
2014-08-04,4.000000,4.000000,4.000000,4.000000,3.119116,720
2014-08-05,4.000000,4.000000,4.000000,4.000000,3.119116,60
2014-08-06,4.000000,4.000000,3.916670,4.000000,3.119116,1248
2014-08-07,4.000000,4.000000,4.000000,4.000000,3.119116,510
2014-08-08,3.991670,4.050000,3.991670,4.000000,3.119116,279762
2014-08-11,4.000000,4.300000,4.000000,4.116670,3.210093,84120
2014-08-12,4.166670,4.166670,4.141670,4.143330,3.230882,365040
2014-08-13,4.143330,4.665000,4.143330,4.498330,3.507704,16956
2014-08-14,4.540000,4.540000,4.498330,4.498330,3.507704,2346
2014-08-15,4.498330,4.498330,4.333330,4.433330,3.457018,2118
2014-08-18,4.433330,4.435000,4.398330,4.398330,3.429725,7266
2014-08-19,4.500000,4.583330,4.398330,4.581670,3.572690,9240
2014-08-20,4.575000,4.600000,4.575000,4.600000,3.586984,2748
2014-08-21,4.600000,5.283330,4.600000,5.166670,4.028861,9474
2014-08-22,5.000000,5.150000,4.833330,5.078330,3.959976,6726
2014-08-25,5.078330,5.078330,4.916670,5.033330,3.924886,8910
2014-08-26,5.021670,5.025000,4.833330,4.983330,3.885896,4608
2014-08-27,5.000000,5.000000,4.916670,5.000000,3.898896,1638
2014-08-28,5.000000,5.000000,5.000000,5.000000,3.898896,912
2014-08-29,5.083330,5.083330,5.083330,5.083330,3.963874,24
2014-09-01,5.033330,5.033330,4.833330,5.016670,3.911895,900
2014-09-02,5.008330,5.008330,4.918330,5.000000,3.898896,180
2014-09-03,5.033330,5.033330,4.833330,4.995000,3.894996,3168
2014-09-04,5.031670,5.033330,5.025000,5.033330,3.924886,1284
2014-09-05,5.083330,5.083330,5.033330,5.033330,3.924886,2220
2014-09-08,5.033330,5.050000,4.970000,5.000000,3.898896,5514
2014-09-09,5.000000,5.116670,4.991670,5.021670,3.915793,12930
2014-09-10,5.133330,5.133330,4.995000,5.000000,3.898896,6408
2014-09-11,5.033330,5.033330,4.980000,4.983330,3.885896,4626
2014-09-12,4.991670,5.000000,4.991670,5.000000,3.898896,804
2014-09-15,5.100000,5.100000,5.000000,5.000000,3.898896,6642
