"","x"
"1",18.3852506020395
"2",18.5084327764004
"3",18.5979405051943
"4",18.5
"5",18.53
"6",18.65
"7",18.85
"8",18.7697485818541
"9",18.39
"10",17.62
"11",17.13
"12",17.14
"13",15.99
"14",16.03
"15",15.7
"16",15.62
"17",15.7
"18",15.91
"19",14.46
"20",14.714268598959
"21",15.0374674833199
"22",15.1860808636951
"23",15.28
"24",14.68
"25",14.26
"26",14.3
"27",14.1951583791088
"28",14.25
"29",14.68
"30",14.86
"31",14.17
"32",14.2040121262419
"33",14.23
"34",15.74
"35",15.86
"36",15.13
"37",15.34
"38",15.33
"39",15.23
"40",15.38
"41",15.76
"42",16.13
"43",17.15
"44",17.1910408219652
"45",17.1229079096543
"46",17.0576365333136
"47",16.9303783964999
"48",16.8743683337814
"49",16.8581370121518
"50",16.8096932813051
"51",16.6704556600632
"52",16.62
"53",16.36
"54",16.22
"55",15.88
"56",15.66
"57",15.16
"58",14.62
"59",14.27
"60",14.339551003394
"61",14.1371372459001
"62",14.0862287996084
"63",13.9968065823523
"64",13.8497647747913
"65",13.5457999868277
"66",13.4569977573172
"67",13.08
"68",14.33
"69",14.81
"70",14.3457895875831
"71",14.1855770521474
"72",14.17
"73",14.16
"74",14.3
"75",14.37
"76",14.15
"77",14.01
"78",14.89
"79",14.7
"80",14.3
"81",14.38
"82",14.22
"83",14.18
"84",14.66
"85",14.74
"86",14.72
"87",14.47
"88",14.514
"89",14.78
"90",14.5
"91",14.578
"92",14.58
"93",14.618
"94",14.59
"95",14.56
"96",14.492
"97",14.31
"98",14.12
"99",13.714
"100",13.74
"101",13.748
"102",13.49
"103",12.54
"104",12.654
"105",12.83
"106",12.29
"107",11.998
"108",12.024
"109",12.088
"110",12.026
"111",12.064
"112",11.95
"113",12.064
"114",11.958
"115",11.83
"116",11.802
"117",11.804
"118",11.66
"119",11.636
"120",11.722
"121",12.052
"122",11.982
"123",12.198
"124",12.436
"125",12.08
"126",12.22
"127",12.146
"128",12.09
"129",11.936
"130",11.942
"131",11.96
"132",11.966
"133",11.982
"134",11.962
"135",12.002
"136",11.924
"137",11.826
"138",11.75
"139",11.806
"140",11.698
"141",11.706
"142",11.908
"143",11.856
"144",11.854
"145",11.936
"146",11.94
"147",11.916
"148",11.906
"149",11.852
"150",11.894
"151",11.884
"152",11.85
"153",11.854
"154",11.864
"155",11.992
"156",12.01
"157",12.054
"158",12.102
"159",12.124
"160",12.112
"161",12.118
"162",12.108
"163",12.112
"164",12.168
"165",12.166
"166",12.188
"167",12.22
"168",12.206
"169",12.346
"170",12.418
"171",11.6520894060063
"172",11.2
"173",11.4639910356368
"174",11.3393370742881
"175",11.5083396850427
"176",11.8
"177",13.064
"178",12.968
"179",12.954
"180",12.982
"181",12.928
"182",12.836
"183",12.846
"184",12.72
"185",12.658
"186",12.652
"187",12.66
"188",12.646
"189",12.626
"190",12.65
"191",12.698
"192",12.702
"193",12.698
"194",12.694
"195",12.696
"196",12.63
"197",12.644
"198",12.666
"199",12.672
"200",12.716
"201",12.716
"202",12.726
"203",12.742
"204",12.716
"205",12.69
"206",12.688
"207",12.72
"208",12.736
"209",12.758
"210",12.752
"211",12.722
"212",12.75
"213",12.754
"214",12.762
"215",12.788
"216",12.848
"217",12.87
"218",12.882
"219",12.884
"220",12.884
"221",12.918
"222",12.944
"223",12.92
"224",12.864
"225",12.806
"226",12.5961640993942
"227",12.6724450175464
"228",12.8564357391602
"229",13.216
"230",13.188
"231",13.218
"232",13.234
"233",13.214
"234",13.102
"235",12.828
"236",12.98
"237",12.926
"238",12.86
"239",12.83
"240",12.628
"241",12.624
"242",12.374
"243",12.506
"244",12.61
"245",12.744
"246",12.588
"247",12.478
"248",12.452
"249",12.526
"250",12.642
"251",12.63
"252",12.672
"253",12.672
"254",12.684
"255",12.718
"256",12.756
"257",12.824
"258",12.84
"259",12.816
"260",12.866
"261",12.906
"262",12.928
"263",12.948
"264",12.956
"265",12.932
"266",12.896
"267",12.866
"268",12.862
"269",12.866
"270",12.862
"271",12.87
"272",12.958
"273",12.982
"274",12.896
"275",12.882
"276",12.834
"277",12.814
"278",12.812
"279",12.828
"280",12.898
"281",13.2547727476276
"282",13.366
"283",13.548
"284",13.582
"285",13.69
"286",13.782
"287",13.748
"288",13.746
"289",13.744
"290",13.648
"291",13.724
"292",13.712
"293",13.738
"294",13.81
"295",14.108
"296",14.232
"297",14.162
"298",14.24
"299",14.244
"300",14.3
"301",14.59
"302",14.868
"303",15.258
"304",15.374
"305",15.258
"306",15.154
"307",14.934
"308",14.83
"309",14.988
"310",15.294
"311",15.448
"312",15.302
"313",15.246
"314",15.286
"315",15.266
"316",15.364
"317",15.284
"318",15.34
"319",15.29
"320",15.15
"321",15.236
"322",15.16
"323",15.178
"324",14.984
"325",15.04
"326",15.398
"327",15.282
"328",15.37
"329",15.32
"330",15.29
"331",15.236
"332",15.208
"333",15.228
"334",15.19
"335",15.196
"336",15.182
"337",15.146
