

Week,Nordea
2013-09-29,71
2013-10-06,71
2013-10-13,73
2013-10-20,80
2013-10-27,85
2013-11-03,83
2013-11-10,84
2013-11-17,78
2013-11-24,86
2013-12-01,88
2013-12-08,89
2013-12-15,92
2013-12-22,65
2013-12-29,91
2014-01-05,80
2014-01-12,87
2014-01-19,77
2014-01-26,80
2014-02-02,72
2014-02-09,72
2014-02-16,69
2014-02-23,77
2014-03-02,81
2014-03-09,81
2014-03-16,89
2014-03-23,87
2014-03-30,91
2014-04-06,89
2014-04-13,80
2014-04-20,81
2014-04-27,87
2014-05-04,91
2014-05-11,89
2014-05-18,97
2014-05-25,76
2014-06-01,80
2014-06-08,79
2014-06-15,70
2014-06-22,79
2014-06-29,78
2014-07-06,67
2014-07-13,69
2014-07-20,71
2014-07-27,84
2014-08-03,86
2014-08-10,89
2014-08-17,91
2014-08-24,89
2014-08-31,93
2014-09-07,89
2014-09-14,85
2014-09-21,85
2014-09-28,87
2014-10-05,87
2014-10-12,80
2014-10-19,78
2014-10-26,79
2014-11-02,81
2014-11-09,77
2014-11-16,75
2014-11-23,76
2014-11-30,80
2014-12-07,87
2014-12-14,91
2014-12-21,70
2014-12-28,100
2015-01-04,88
2015-01-11,92
2015-01-18,92
2015-01-25,97
2015-02-01,96
2015-02-08,92
2015-02-15,81
2015-02-22,77
2015-03-01,83
2015-03-08,75
2015-03-15,79
2015-03-22,80
2015-03-29,73
2015-04-05,78
2015-04-12,78
2015-04-19,74
2015-04-26,75
2015-05-03,78
2015-05-10,75
2015-05-17,74
2015-05-24,85
2015-05-31,95
2015-06-07,89
2015-06-14,87
2015-06-21,88
2015-06-28,92
2015-07-05,73
2015-07-12,71
2015-07-19,69
2015-07-26,72
2015-08-02,71
2015-08-09,73
2015-08-16,73
2015-08-23,84
2015-08-30,90
2015-09-06,83
2015-09-13,82
2015-09-20,79
2015-09-27,80
2015-10-04,80
2015-10-11,77
2015-10-18,84
2015-10-25,82
2015-11-01,89
2015-11-08,88
2015-11-15,83
2015-11-22,75
2015-11-29,84
2015-12-06,80
2015-12-13,83
2015-12-20,61
2015-12-27,69
2016-01-03,69
2016-01-10,71
2016-01-17,77
2016-01-24,89
2016-01-31,85
2016-02-07,86
2016-02-14,85
2016-02-21,77
2016-02-28,88
2016-03-06,73
2016-03-13,79
2016-03-20,70
2016-03-27,92
2016-04-03,96
2016-04-10,84
2016-04-17,77
2016-04-24,80
2016-05-01,70
2016-05-08,75
2016-05-15,71
2016-05-22,74
2016-05-29,80
2016-06-05,84
2016-06-12,82
2016-06-19,81
2016-06-26,97
2016-07-03,85
2016-07-10,79
2016-07-17,77
2016-07-24,77
2016-07-31,87
2016-08-07,82
2016-08-14,85
2016-08-21,83
2016-08-28,86
2016-09-04,81
2016-09-11,81
2016-09-18,76
2016-09-25,84
2016-10-02,85
2016-10-09,85
2016-10-16,81
2016-10-23,77
2016-10-30,79
2016-11-06,72
2016-11-13,78
2016-11-20,76
2016-11-27,80
2016-12-04,71
2016-12-11,67
2016-12-18,66
2016-12-25,58
2017-01-01,64
2017-01-08,64
2017-01-15,62
2017-01-22,65
2017-01-29,66
2017-02-05,61
2017-02-12,62
2017-02-19,63
2017-02-26,68
2017-03-05,61
2017-03-12,68
2017-03-19,66
2017-03-26,66
2017-04-02,65
2017-04-09,59
2017-04-16,61
2017-04-23,71
2017-04-30,62
2017-05-07,64
2017-05-14,61
2017-05-21,61
2017-05-28,85
2017-06-04,77
2017-06-11,81
2017-06-18,70
2017-06-25,85
2017-07-02,81
2017-07-09,78
2017-07-16,77
2017-07-23,77
2017-07-30,85
2017-08-06,77
2017-08-13,86
2017-08-20,86
2017-08-27,93
2017-09-03,100
2017-09-10,88
2017-09-17,82
2017-09-24,86
2017-10-01,95
2017-10-08,90
2017-10-15,85
2017-10-22,91
2017-10-29,98
2017-11-05,85
2017-11-12,87
2017-11-19,82
2017-11-26,90
2017-12-03,88
2017-12-10,88
2017-12-17,93
2017-12-24,78
2017-12-31,93
2018-01-07,92
2018-01-14,89
2018-01-21,85
2018-01-28,90
2018-02-04,84
2018-02-11,84
2018-02-18,82
2018-02-25,87
2018-03-04,84
2018-03-11,91
2018-03-18,86
2018-03-25,80
2018-04-01,83
2018-04-08,85
2018-04-15,84
2018-04-22,88
2018-04-29,83
2018-05-06,75
2018-05-13,89
2018-05-20,79
2018-05-27,89
2018-06-03,83
2018-06-10,86
2018-06-17,77
2018-06-24,90
2018-07-01,86
2018-07-08,76
2018-07-15,74
2018-07-22,70
2018-07-29,82
2018-08-05,75
2018-08-12,85
2018-08-19,80
2018-08-26,83
2018-09-02,78
2018-09-09,81
2018-09-16,77
2018-09-23,80

2018-10-01,81
